0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, act   Load, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
77,10:15:48:434,94,20,1,0,8,0,1,3,-36.517,-7.727,-26396.057,31208.675,0.018,0,2000,50,1799,50,6.0903,0,0,155,100,100,0,1,0,0,6.0903,5.9934,50.7096,50.6846,0.0159,0.0056,3912.5,0.0202,0.0002,3912.5
78,10:15:48:534,100,20,1,0,8,0,1,3,-36.517,-8.02,0.008,19129.227,0,0,2000,50,1799,50,6.0903,0,0,155,100,100,0,1,0,0,6.0903,5.9997,50.7096,50.6846,0.0159,0.0056,3912.5,0.0202,0.0002,3912.5
79,10:15:48:634,100,20,1,0,8,0,1,3,-36.517,-8.02,0.008,19129.227,0,0,2000,50,1799,50,6.1106,0,0,155,100,100,0,1,0,0,6.1106,5.9887,50.7096,50.6846,0.016,0.0014,3912.5,0.0202,0.001,3912.5
80,10:15:48:724,90,20,1,0,8,0,1,3,-36.517,-8.02,0.008,19129.227,0,0,2000,50,1799,50,6.0746,0,0,155,100,100,0,1,0,0,6.0746,6.0043,50.7096,50.6846,0.016,0.0014,3912.5,0.0202,0.001,3912.5
81,10:15:48:820,96,20,1,0,8,0,1,3,-36.517,-8.02,0.008,19129.227,0,0,2000,50,1799,50,6.0918,0,0,155,100,100,0,1,0,0,6.0918,6.0012,50.708,50.6846,0.016,0.004,3912.5,0.0201,0.0011,3912.5
82,10:15:48:920,100,20,1,0,8,0,1,3,-36.517,-8.02,0.008,19129.227,0,0,2000,50,1799,50,6.0887,0,0,155,100,100,0,1,0,0,6.0887,6.009,50.708,50.6846,0.0163,0.0014,3912.5,0.0199,0.0009,3912.5
83,10:15:49: 12,92,20,1,0,8,0,1,3,-36.517,-8.42,0,0,0,0,2000,50,1799,50,6.109,0,0,155,100,100,0,1,0,0,6.109,6.0012,50.708,50.6846,0.0163,0.0014,3912.5,0.0199,0.0009,3912.5
84,10:15:49:121,109,20,1,0,8,0,1,3,-36.517,-8.42,0,0,0,0,2000,50,1799,50,6.1059,0,0,155,100,100,0,1,0,0,6.1059,6.0106,50.708,50.6846,0.0153,0.0021,49668.75,0.0191,0.0015,0
85,10:15:49:221,100,20,1,0,8,0,1,3,-36.517,-8.633,0.016,0,-28097.667,0,2000,50,1799,50,6.0965,0,0,155,100,100,0,1,0,0,6.0965,6.009,50.708,50.6846,0.0153,0.0021,49668.75,0.0191,0.0015,0
86,10:15:49:316,95,20,1,0,8,0,1,3,-36.517,-8.633,0.016,0,-28097.667,0,2000,50,1799,50,6.1012,0,0,155,100,100,0,1,0,0,6.1012,6.0309,50.708,50.6846,0.0154,0.0058,49668.75,0.0189,0.0005,3912.5
87,10:15:49:416,100,20,1,0,8,0,1,3,-36.517,-8.633,0.016,0,-28097.667,0,2000,50,1799,50,6.1262,0,0,155,100,100,0,1,0,0,6.1262,6.0028,50.708,50.6846,0.0154,0.0058,49668.75,0.0189,0.0005,3912.5
88,10:15:49:513,97,20,1,0,8,0,1,3,-36.517,-8.633,0.016,0,-28097.667,0,2000,50,1799,50,6.1262,0,0,155,100,100,0,1,0,0,6.1262,6.0043,50.708,50.6846,0.0153,0.0038,0,0.0188,0.0014,47231.25
89,10:15:49:606,93,20,1,0,8,0,1,3,-36.517,-8.927,0,31208.675,0.002,0,2000,50,1799,50,6.1356,0,0,155,100,100,0,1,0,0,6.1356,5.9903,50.7096,50.6846,0.0155,0.0043,47231.25,0.0187,0.0008,47231.25
90,10:15:49:702,96,20,1,0,8,0,1,3,-36.517,-8.927,0,31208.675,0.002,0,2000,50,1799,50,6.134,0,0,155,100,100,0,1,0,0,6.134,5.9965,50.7096,50.6861,0.0155,0.0043,47231.25,0.0187,0.0008,47231.25
91,10:15:49:783,81,20,1,0,8,0,1,3,-36.517,-8.927,0,31208.675,0.002,0,2000,50,1799,50,6.1153,0,0,155,100,100,0,1,0,0,6.1153,5.9981,50.7111,50.6861,0.0153,0.0016,0,0.019,0.0004,3912.5
